id_comercio|id_bandera|id_sucursal|sucursales_nombre|sucursales_tipo|sucursales_calle|sucursales_numero|sucursales_latitud|sucursales_longitud|sucursales_observaciones|sucursales_barrio|sucursales_codigo_postal|sucursales_localidad|sucursales_provincia|sucursales_lunes_horario_atencion|sucursales_martes_horario_atencion|sucursales_miercoles_horario_atencion|sucursales_jueves_horario_atencion|sucursales_viernes_horario_atencion|sucursales_sabado_horario_atencion|sucursales_domingo_horario_atencion
9|1|704|SM 704 Tres Arroyos.|Supermercado|CALLE 1810|124|-38.3773|-60.2727|||7500|TRES ARROYOS|AR-B|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 21:00|08:00 a 22:00
9|1|706|Puerto Madryn..|Supermercado|BELGRANO DR MANUEL|372|-42.7683|-65.039|||9120|PUERTO MADRYN|AR-U|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:30 a 21:30|08:00 a 22:00
9|1|708|Av. Menem|Supermercado|Laprida y Artigas|6811|-29.4295|-66.8541|||5300|LA RIOJA|AR-F|08:30 a 22:30|08:30 a 22:30|08:30 a 22:30|08:30 a 22:30|08:30 a 22:30|08:30 a 22:30|08:00 a 22:00
9|2|725|Alta Gracia.|Supermercado|Raul Alfonsin|650|-31.6512|-64.4269|||5000|ALTA GRACIA|AR-X|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|1|769|Catamarca Peatonal.|Supermercado|RIVADAVIA|954|-28.4726|-65.7782|||4700|SAN FDO DEL VALLE DE CATAMARCA|AR-K|08:00 a 22:30|08:00 a 22:30|08:00 a 22:30|08:00 a 22:30|08:00 a 22:30|08:00 a 22:30|08:00 a 22:00
9|1|803|Vea 50 Gral Alvear|Supermercado|AVENIDA LIBERTADOR SAN MARTIN NORTE|229|-34.9666|-67.7|||5620|GENERAL ALVEAR|AR-M|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:30 a 13:00 y 16:30 a 21:00|08:00 a 22:00
9|1|815|Vea 51 Rawson|Supermercado|Republica del Libano|297|-31.5667|-68.5323|||5400|SAN JUAN|AR-J|09:00 a 13:30 y 17:00 a 21:30|09:00 a 13:30 y 17:00 a 21:30|09:00 a 13:30 y 17:00 a 21:30|09:00 a 13:30 y 17:00 a 21:30|09:00 a 13:30 y 17:00 a 21:30|09:00 a 13:30 y 17:00 a 21:00|08:00 a 22:00
9|2|842|Cruz del Eje.|Supermercado|Rivadavia, esquina alvear|293|-30.7249|-64.8005|||5280|CRUZ DEL EJE|AR-X|08:30 a 13:30 Y 16:30 A 21:30|08:30 a 13:30 Y 16:30 A 21:30|08:30 a 13:30 Y 16:30 A 21:30|08:30 a 13:30 Y 16:30 A 21:30|08:30 a 13:30 Y 16:30 A 21:30|08:30 a 21:30|08:00 a 22:00
9|2|843|Rio Ceballos.|Supermercado|AVENIDA SAN MARTIN|5259|-31.1833|-64.3333|||5111|RIO CEBALLOS|AR-X|08:30 a 13:30 y 16:30 a 21:30|08:30 a 13:30 y 16:30 a 21:30|08:30 a 13:30 y 16:30 a 21:30|08:30 a 13:30 y 16:30 a 21:30|08:30 a 13:30 y 16:30 a 21:30|08:30 a 13:30 y 16:30 a 21:30|08:00 a 22:00
9|1|860|Vea 52.|Supermercado|Av. Julio A. Roca esq. Av. Juan D. Peron|0|-33.3065|-66.3236|||5700|SAN LUIS|AR-D|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:30 a 22:00|08:00 a 22:00
9|1|868|Vea 53 San Rafel II|Supermercado|AVENIDA EL LIBERTADOR|755|-34.6242|-68.3339|||5600|SAN RAFAEL|AR-M|08:30 a 13:00 y 17:00 a 21:00|08:30 a 13:00 y 17:00 a 21:00|08:30 a 13:00 y 17:00 a 21:00|08:30 a 13:00 y 17:00 a 21:00|08:30 a 13:00 y 17:00 a 21:00|08:30 a 21:30|08:00 a 22:00
9|1|903|Monteros|Supermercado|Alberdi|0|-27.1699|-65.4999|||4142|MONTEROS VIEJO|AR-T|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:00 a 22:00|08:00 a 22:00
9|1|904|Concepción|Supermercado|RIVADAVIA|36|-27.3503|-65.6008|||4146|CONCEPCION|AR-T|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:30 a 14:00 y 17:00 a 22:00|08:00 a 22:00|08:00 a 22:00
